ID,ORDERID,PRODUCTID,QUANTITY,REVENUE
ee682258-e334-4a8d-8706-863c5ab389d7,56164086-9b4b-4803-b102-b9a600930ae4,853f36f2-8e15-4cda-98cf-fdf3347d4b9d,1000,29.8
8a9e4ed3-2694-4ed9-926c-476ae2b2a0a4,20d63f9b-f4c5-457c-9fcb-9dd2de7046a8,853f36f2-8e15-4cda-98cf-fdf3347d4b9d,1000,45.42
72890856-1a73-4878-8486-7ae0716fb1a8,7f7866bd-98a0-47a0-82d6-4894abc35474,853f36f2-8e15-4cda-98cf-fdf3347d4b9d,10,15.2
27ca7746-1efd-4654-9040-1d98dca922f0,42205ddf-575c-4cd3-9e99-0bba2efdc97b,853f36f2-8e15-4cda-98cf-fdf3347d4b9d,1000,43.8
0fee4f6d-207d-4f3a-b19b-d7e9cb0c84bc,47982ddb-6b81-47ce-9e9c-404f138c37fd,853f36f2-8e15-4cda-98cf-fdf3347d4b9d,50,20.42
4b468dd1-0ec4-4f8e-a177-3bae7884ce73,98084e22-7c53-4a43-b8a8-0b78f938ac9c,853f36f2-8e15-4cda-98cf-fdf3347d4b9d,25,28.43
6f9083ec-f46b-447e-9ff6-5d5d0d451b6e,b434ff7c-2b99-4587-abe2-efc958fec27d,853f36f2-8e15-4cda-98cf-fdf3347d4b9d,1000,65.6
0a234a95-0bae-493e-a5db-b510414969e9,67cbf96c-c2a9-4a0b-a0a4-f630e280f334,3d03a711-2aac-467d-af60-866ca46f2043,1,38.95
36a37a7d-fee9-44f6-a545-eac0f650b527,8236b801-01d7-4a11-9974-24b37976fe00,86a02b7f-ef2f-40ae-b052-c8f4868bbb05,1,34.32
b37ad045-5b4e-47d2-8e09-f678c7cecdf6,a5b223cf-1c4b-4ca8-ae43-f1b9d400e511,5e7ba712-4c49-41ed-8d01-77b2bdbf7e04,500,145.75
c5bf69a6-5117-48d4-9e5b-a9975dce1527,1528fdd5-e6fa-4b09-8339-247420f645c9,07a05460-f8b2-4577-b914-38b37829ee4c,2,44.28
ea4c2596-73f4-4335-befb-61fec15a2a0b,3c219a59-3194-4c5e-aa5b-bc0cea619403,0f33b68a-0de9-41aa-b7dd-30df896ebd31,50,35.15
003be4f9-c884-4c23-bcfa-d916c72170ab,b6589daa-41e4-43aa-bdd8-fb8df22974cc,853f36f2-8e15-4cda-98cf-fdf3347d4b9d,500,34.15
171faa4e-c3b6-48e8-8a10-21014bfd35ef,6f77094a-6add-456c-bf61-8430fc2eebed,5e30a00c-e4e0-4f2b-863b-3126031d2ad3,5,41.8
6a136671-c344-48cb-a5d1-3cf86ce0494f,acbcf96b-1566-4da2-bba6-7a2397adb5b3,853f36f2-8e15-4cda-98cf-fdf3347d4b9d,1000,46.99
